Make,Model,Type,Origin,DriveTrain,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Audi,A4 1.8T 4dr,Sedan,Europe,Front,1.8,4.0,170,22,31,3252,104,179
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,1.8,4.0,170,23,30,3638,105,180
Audi,A4 3.0 4dr,Sedan,Europe,Front,3.0,6.0,220,20,28,3462,104,179
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,3.0,6.0,220,17,26,3583,104,179
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,3.0,6.0,220,18,25,3627,104,179
Audi,A6 3.0 4dr,Sedan,Europe,Front,3.0,6.0,220,20,27,3561,109,192
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,3.0,6.0,220,18,25,3880,109,192
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,3.0,6.0,220,20,27,3814,105,180
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,3.0,6.0,220,18,25,4013,105,180
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,2.7,6.0,250,18,25,3836,109,192
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,4.2,8.0,300,17,24,4024,109,193
Audi,A8 L Quattro 4dr,Sedan,Europe,All,4.2,8.0,330,17,24,4399,121,204
Audi,S4 Quattro 4dr,Sedan,Europe,All,4.2,8.0,340,14,20,3825,104,179
Audi,RS 6 4dr,Sports,Europe,Front,4.2,8.0,450,15,22,4024,109,191
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,1.8,4.0,180,20,28,3131,95,159
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,1.8,4.0,225,20,28,2921,96,159
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,3.2,6.0,250,21,29,3351,96,159
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,3.0,6.0,220,18,25,4035,109,192
Audi,S4 Avant Quattro,Wagon,Europe,All,4.2,8.0,340,15,21,3936,104,179
BMW,X3 3.0i,SUV,Europe,All,3.0,6.0,225,16,23,4023,110,180
BMW,X5 4.4i,SUV,Europe,All,4.4,8.0,325,16,22,4824,111,184
BMW,325i 4dr,Sedan,Europe,Rear,2.5,6.0,184,20,29,3219,107,176
BMW,325Ci 2dr,Sedan,Europe,Rear,2.5,6.0,184,20,29,3197,107,177
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,2.5,6.0,184,19,27,3560,107,177
BMW,325xi 4dr,Sedan,Europe,All,2.5,6.0,184,19,27,3461,107,176
BMW,330i 4dr,Sedan,Europe,Rear,3.0,6.0,225,20,30,3285,107,176
BMW,330Ci 2dr,Sedan,Europe,Rear,3.0,6.0,225,20,30,3285,107,176
BMW,330xi 4dr,Sedan,Europe,All,3.0,6.0,225,20,29,3483,107,176
BMW,525i 4dr,Sedan,Europe,Rear,2.5,6.0,184,19,28,3428,114,191
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,3.0,6.0,225,19,28,3616,107,177
BMW,530i 4dr,Sedan,Europe,Rear,3.0,6.0,225,20,30,3472,114,191
BMW,545iA 4dr,Sedan,Europe,Rear,4.4,8.0,325,18,26,3814,114,191
BMW,745i 4dr,Sedan,Europe,Rear,4.4,8.0,325,18,26,4376,118,198
BMW,745Li 4dr,Sedan,Europe,Rear,4.4,8.0,325,18,26,4464,123,204
BMW,M3 coupe 2dr,Sports,Europe,Rear,3.2,6.0,333,16,24,3415,108,177
BMW,M3 convertible 2dr,Sports,Europe,Rear,3.2,6.0,333,16,23,3781,108,177
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,2.5,6.0,184,20,28,2932,98,161
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,3.0,6.0,225,21,29,2998,98,161
BMW,325xi Sport,Wagon,Europe,All,2.5,6.0,184,19,26,3594,107,176
Buick,Rainier,SUV,USA,All,4.2,6.0,275,15,21,4600,113,193
Buick,Rendezvous CX,SUV,USA,Front,3.4,6.0,185,19,26,4024,112,187
Buick,Century Custom 4dr,Sedan,USA,Front,3.1,6.0,175,20,30,3353,109,195
Buick,LeSabre Custom 4dr,Sedan,USA,Front,3.8,6.0,205,20,29,3567,112,200
Buick,Regal LS 4dr,Sedan,USA,Front,3.8,6.0,200,20,30,3461,109,196
Buick,Regal GS 4dr,Sedan,USA,Front,3.8,6.0,240,18,28,3536,109,196
Buick,LeSabre Limited 4dr,Sedan,USA,Front,3.8,6.0,205,20,29,3591,112,200
Buick,Park Avenue 4dr,Sedan,USA,Front,3.8,6.0,205,20,29,3778,114,207
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,3.8,6.0,240,18,28,3909,114,207
Cadillac,Escalade,SUV,USA,Front,5.3,8.0,295,14,18,5367,116,199
