Make,Model,Type,Origin,DriveTrain,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,MDX,SUV,Asia,All,3.5,6.0,265,17,23,4451,106,189
Acura,RSX Type S 2dr,Sedan,Asia,Front,2.0,4.0,200,24,31,2778,101,172
Acura,TSX 4dr,Sedan,Asia,Front,2.4,4.0,200,22,29,3230,105,183
Acura,TL 4dr,Sedan,Asia,Front,3.2,6.0,270,20,28,3575,108,186
Acura,3.5 RL 4dr,Sedan,Asia,Front,3.5,6.0,225,18,24,3880,115,197
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,3.5,6.0,225,18,24,3893,115,197
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,3.2,6.0,290,17,24,3153,100,174
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,1.4,4.0,93,46,51,2732,103,175
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,2.0,3.0,73,60,66,1850,95,155
Honda,Pilot LX,SUV,Asia,All,3.5,6.0,240,17,22,4387,106,188
Honda,CR-V LX,SUV,Asia,All,2.4,4.0,160,21,25,3258,103,179
Honda,Element LX,SUV,Asia,All,2.4,4.0,160,21,24,3468,101,167
Honda,Civic DX 2dr,Sedan,Asia,Front,1.7,4.0,115,32,38,2432,103,175
Honda,Civic HX 2dr,Sedan,Asia,Front,1.7,4.0,117,36,44,2500,103,175
Honda,Civic LX 4dr,Sedan,Asia,Front,1.7,4.0,115,32,38,2513,103,175
Honda,Accord LX 2dr,Sedan,Asia,Front,2.4,4.0,160,26,34,2994,105,188
Honda,Accord EX 2dr,Sedan,Asia,Front,2.4,4.0,160,26,34,3047,105,188
Honda,Civic EX 4dr,Sedan,Asia,Front,1.7,4.0,127,32,37,2601,103,175
Honda,Civic Si 2dr hatch,Sedan,Asia,Front,2.0,4.0,160,26,30,2782,101,166
Honda,Accord LX V6 4dr,Sedan,Asia,Front,3.0,6.0,240,21,30,3349,108,190
Honda,Accord EX V6 2dr,Sedan,Asia,Front,3.0,6.0,240,21,30,3294,105,188
Honda,Odyssey LX,Sedan,Asia,Front,3.5,6.0,240,18,25,4310,118,201
Honda,Odyssey EX,Sedan,Asia,Front,3.5,6.0,240,18,25,4365,118,201
Honda,S2000 convertible 2dr,Sports,Asia,Rear,2.2,4.0,240,20,25,2835,95,162
Hyundai,Santa Fe GLS,SUV,Asia,Front,2.7,6.0,173,20,26,3549,103,177
Hyundai,Accent 2dr hatch,Sedan,Asia,Front,1.6,4.0,103,29,33,2255,96,167
Hyundai,Accent GL 4dr,Sedan,Asia,Front,1.6,4.0,103,29,33,2290,96,167
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,1.6,4.0,103,29,33,2339,96,167
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,2.0,4.0,138,26,34,2635,103,178
