Make,Model,EngineSize,MSRP,Invoice
Acura,MDX,3.5,36945,33337
Acura,RSX Type S 2dr,2.0,23820,21761
Acura,TSX 4dr,2.4,26990,24647
Acura,TL 4dr,3.2,33195,30299
Acura,3.5 RL 4dr,3.5,43755,39014
Acura,3.5 RL w/Navigation 4dr,3.5,46100,41100
Acura,NSX coupe 2dr manual S,3.2,89765,79978
Honda,Civic Hybrid 4dr manual (gas/electric),1.4,20140,18451
Honda,Insight 2dr (gas/electric),2.0,19110,17911
Honda,Pilot LX,3.5,27560,24843
Honda,CR-V LX,2.4,19860,18419
Honda,Element LX,2.4,18690,17334
Honda,Civic DX 2dr,1.7,13270,12175
Honda,Civic HX 2dr,1.7,14170,12996
Honda,Civic LX 4dr,1.7,15850,14531
Honda,Accord LX 2dr,2.4,19860,17924
Honda,Accord EX 2dr,2.4,22260,20080
Honda,Civic EX 4dr,1.7,17750,16265
Honda,Civic Si 2dr hatch,2.0,19490,17849
Honda,Accord LX V6 4dr,3.0,23760,21428
Honda,Accord EX V6 2dr,3.0,26960,24304
Honda,Odyssey LX,3.5,24950,22498
Honda,Odyssey EX,3.5,27450,24744
Honda,S2000 convertible 2dr,2.2,33260,29965
Hyundai,Santa Fe GLS,2.7,21589,20201
Hyundai,Accent 2dr hatch,1.6,10539,10107
Hyundai,Accent GL 4dr,1.6,11839,11116
Hyundai,Accent GT 2dr hatch,1.6,11939,11209
Hyundai,Elantra GLS 4dr,2.0,13839,12781
Hyundai,Elantra GT 4dr,2.0,15389,14207
Hyundai,Elantra GT 4dr hatch,2.0,15389,14207
Hyundai,Sonata GLS 4dr,2.7,19339,17574
Hyundai,Sonata LX 4dr,2.7,20339,18380
Hyundai,XG350 4dr,3.5,24589,22055
Hyundai,XG350 L 4dr,3.5,26189,23486
Hyundai,Tiburon GT V6 2dr,2.7,18739,17101
Infiniti,G35 4dr,3.5,28495,26157
Infiniti,G35 Sport Coupe 2dr,3.5,29795,27536
Infiniti,G35 4dr,3.5,32445,29783
Infiniti,I35 4dr,3.5,31145,28320
Infiniti,M45 4dr,4.5,42845,38792
